userID,hotelID,prediction
2149,483,11.291123
2253,482,0.63057727
2253,441,0.6151003
2253,537,0.62168044
2253,435,0.6168175
2253,120,0.64317423
2253,73,0.6150424
2253,530,0.6467023
2253,541,0.6261096
2253,2,0.6479117
2253,19,0.62644476
2253,100,2.1991212
2253,468,0.6491638
2253,484,0.8374807
2253,25,0.6174946
2253,404,0.68931824
2253,488,0.63284355
2253,336,17.563438
2253,330,0.7181721
2253,579,0.6655646
2253,507,0.63306147
2253,382,13.915644
2253,321,19.593588
2253,128,0.6684747
2253,483,21.55452
2253,399,5.303852
2426,482,0.62595105
2426,441,0.6387987
2426,537,0.6317776
2426,120,0.62170625
2426,530,0.63191324
2426,19,0.6434408
2426,443,0.619998
2426,333,0.6143982
2426,404,0.64047384
2426,294,0.61345065
2426,506,16.529453
2426,63,3.1524148
2426,469,7.8700056
2426,336,9.562216
2426,330,0.7078166
2426,579,0.6509098
2426,327,1.1233901
2426,507,0.61682624
2426,382,6.723031
2426,321,19.312164
2426,128,0.6631193
2426,102,2.2683454
2426,339,6.2680187
2426,282,0.8978341
2426,483,24.181084
2511,441,0.6443578
2511,537,0.64183855
2511,120,0.6193311
2511,73,0.6203806
2511,530,0.6315577
2511,541,0.62691504
2511,2,0.6306997
2511,100,1.8994672
2511,468,0.6180469
2511,443,0.63365823
2511,404,0.64216644
2511,488,0.6381276
2511,418,0.82871914
2511,250,0.63441783
2511,188,10.981762
2511,265,2.9045894
2511,469,0.7126245
2511,336,9.672357
2511,330,0.68682057
2511,579,0.6272844
2511,507,0.638121
2511,382,17.646444
2511,321,15.348217
2511,128,0.6987562
2511,483,20.969522
2542,537,0.6232369
2542,120,0.6284882
2542,530,0.6262793
2542,2,0.6297546
2542,100,3.4495335
2542,470,0.6117668
2542,443,0.6209255
2542,25,0.6227635
2542,404,0.62934154
2542,488,0.60660243
2542,294,0.6169996
2542,418,7.2676797
2542,506,8.790978
2542,250,0.6095526
2542,469,5.4675674
2542,336,13.326609
2542,330,0.69029975
2542,579,0.63292664
2542,507,0.6440341
2542,382,8.584865
2542,321,15.104488
2542,128,0.6615197
2542,339,5.7863827
2542,238,0.61176556
2542,483,22.045715
2561,482,0.6367178
2561,537,0.6409836
2561,377,0.6096124
2561,120,0.6235978
2561,566,0.6046456
2561,530,0.6361599
2561,153,1.0347879
2561,19,0.6331703
2561,100,1.6895139
2561,443,0.6298164
2561,165,0.60216737
2561,44,0.6111138
2561,25,0.617077
2561,404,0.6230676
2561,488,0.64008784
2561,334,0.6014611
2561,469,2.454742
2561,336,7.54006
2561,330,0.7168083
2561,579,0.6236314
2561,382,9.151445
2561,321,14.62385
2561,128,0.6111655
2561,339,18.372578
2561,483,14.855163
2582,441,0.6256245
2582,537,0.6470829
2582,120,0.6523049
2582,73,0.62512803
2582,530,0.66235447
2582,541,0.6221106
2582,2,0.6232354
2582,153,2.1740928
2582,19,0.64413196
2582,443,0.6330398
2582,333,0.6483819
2582,404,0.6524143
2582,488,0.63764054
2582,506,8.805732
2582,63,0.64185077
2582,469,1.9237728
2582,336,11.010015
2582,330,0.7081768
2582,579,0.6528048
2582,507,0.6316845
2582,382,5.11152
2582,321,15.074795
2582,128,0.6590775
2582,339,10.916964
2582,483,23.005695
2591,482,0.6235622
2591,441,0.6361347
2591,537,0.63191426
2591,73,0.6312393
2591,2,0.6179517
2591,468,0.61713266
2591,25,0.6185593
2591,404,0.6479605
2591,276,0.616181
2591,488,0.6245833
2591,506,8.438575
2591,250,0.6389887
2591,63,1.6957668
2591,469,10.651912
2591,336,10.699362
2591,330,0.7165847
2591,579,0.62219363
2591,382,13.503596
2591,321,17.780045
2591,128,0.6820299
2591,144,2.2975647
2591,339,13.816141
2591,282,0.77472186
2591,238,0.6200974
2591,483,7.197139
2628,482,0.6329455
2628,441,0.6326842
2628,537,0.64504445
2628,73,0.62548673
2628,530,0.68270135
2628,2,0.64445806
2628,19,0.63226295
2628,468,0.6317411
2628,443,0.6324669
2628,333,0.63082033
2628,44,0.6308041
2628,25,0.6179293
2628,404,0.67333496
2628,250,0.6295553
2628,469,4.6099977
2628,330,0.7096756
