IDuser,CustomerName,Location,IDhotel,NameHotel,Rating,Date
5857,Nguyen T. H.,Đà Lạt,359,Khách sạn Thi Thảo - Gardenia Đà Lạt,6.3,2013-11-24
5997,Nguyen V.,Đà Lạt,260,Khách sạn Hoa Sen 62 Đà Lạt,6,2013-12-04
2405,Ho T. B. N.,Đà Nẵng,252,Khách sạn Gold Đà Nẵng,7,2013-12-14
3166,Huynh N. T. T.,Đà Lạt,359,Khách sạn Thi Thảo - Gardenia Đà Lạt,7,2013-12-25
3471,Khuc T. A.,Đà Nẵng,252,Khách sạn Gold Đà Nẵng,6,2013-12-28
6606,Pham T. H. U.,Phan Thiết,211,Khu nghỉ dưỡng TTC Premium Kê Gà,8.7,2014-01-01
5846,Nguyen T. D.,Đà Lạt,310,Khách sạn Ngọc Mai Phú Đà Lạt,6.7,2014-01-01
7515,Ta M. H.,Nha Trang,372,Khách sạn Yasaka Sài Gòn Nha Trang,4.7,2014-01-02
5203,Ngo T. L.,Đà Lạt,371,Khách sạn Xuân Hồng 2 Đà Lạt,7.7,2014-01-02
5862,Nguyen T. H. D.,Đà Lạt,237,Khách sạn Cẩm Tú Cầu Đà Lạt,7,2014-01-02
5700,Nguyen M. T.,Huế,109,Huế Riverside Boutique Resort & Spa,6,2014-01-05
3852,Le H. N.,Đà Nẵng,252,Khách sạn Gold Đà Nẵng,6.7,2014-01-06
5938,Nguyen T. P. M.,Đà Lạt,146,Khu nghỉ dưỡng Ana Mandara Villas Dalat Resort and Spa,9,2014-01-06
9767,Truong D. M.,Đà Lạt,363,Khách sạn Tâm Dung Đà Lạt,9.7,2014-01-07
9302,Tran T.,Nha Trang,347,Khách sạn Sun City Nha Trang,9,2014-01-07
918,Dang T. H.,Đà Nẵng,251,Khách sạn Gold Coast Đà Nẵng,7,2014-01-07
6627,Pham T. M. P.,Đà Nẵng,299,Khách sạn Mường Thanh Grand Đà Nẵng,7.7,2014-01-07
4017,Le T. H.,Đà Nẵng,231,Khách sạn Brilliant Đà Nẵng,9.3,2014-01-08
7775,Thanh . C. L.,Phan Thiết,556,Victoria Phan Thiết Beach Resort & Spa,7,2014-01-08
5875,Nguyen T. H. Y.,Huế,330,Khách sạn Rosaleen Boutique Huế,8.3,2014-01-08
918,Dang T. H.,Vũng Tàu,205,Khu nghỉ dưỡng Seaside Vũng Tàu,6.7,2014-01-09
5961,Nguyen T. T. H.,Vũng Tàu,152,Khu nghỉ dưỡng Carmelina Beach Hồ Tràm,7.7,2014-01-09
9325,Tran T. H.,Vũng Tàu,152,Khu nghỉ dưỡng Carmelina Beach Hồ Tràm,7,2014-01-09
435,Bui T. N. H.,Phú Quốc,150,Khu nghỉ dưỡng Arcadia Phú Quốc,8,2014-01-09
5972,Nguyen T. T. T.,Phan Thiết,7,Allezboo Beach Resort & Spa Phan Thiết,7.3,2014-01-10
